START ALGORITHM:
I am going to build an instance with N: 1000 variables and 9500 clauses with a clause density equal to 9.5
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
960 8550 17.9659827 0.0179659827 8.90625
960 8557 17.9711801 0.0179711801 8.91354167
960 8557 17.9710681 0.0179710681 8.91354167
960 8557 17.9713965 0.0179713965 8.91354167
960 8557 17.9714494 0.0179714494 8.91354167
960 8557 17.971469 0.017971469 8.91354167
960 8557 17.9714662 0.0179714662 8.91354167
960 8557 17.9714654 0.0179714654 8.91354167
960 8557 17.9714649 0.0179714649 8.91354167
960 8557 17.971465 0.017971465 8.91354167
959 8528 17.8959769 0.0178959769 8.89259645
959 8528 17.8952671 0.0178952671 8.89259645
959 8528 17.8950326 0.0178950326 8.89259645
959 8528 17.8958594 0.0178958594 8.89259645
959 8528 17.8960933 0.0178960933 8.89259645
959 8528 17.8950043 0.0178950043 8.89259645
959 8528 17.8958913 0.0178958913 8.89259645
959 8528 17.8950997 0.0178950997 8.89259645
959 8528 17.8958926 0.0178958926 8.89259645
959 8528 17.8951003 0.0178951003 8.89259645
958 8508 17.8204894 0.0178204894 8.88100209
958 8508 17.8199475 0.0178199475 8.88100209
958 8508 17.8204296 0.0178204296 8.88100209
958 8508 17.8200991 0.0178200991 8.88100209
958 8508 17.8200868 0.0178200868 8.88100209
958 8514 17.8197174 0.0178197174 8.88726514
958 8508 17.8204746 0.0178204746 8.88100209
958 8508 17.8200668 0.0178200668 8.88100209
958 8514 17.8196927 0.0178196927 8.88726514
958 8508 17.8204776 0.0178204776 8.88100209
957 8480 17.7448304 0.0177448304 8.86102403
957 8485 17.7464613 0.0177464613 8.86624869
957 8485 17.7463916 0.0177463916 8.86624869
957 8485 17.7470924 0.0177470924 8.86624869
957 8478 17.7463687 0.0177463687 8.85893417
957 8478 17.7457906 0.0177457906 8.85893417
957 8478 17.7456258 0.0177456258 8.85893417
957 8484 17.7457541 0.0177457541 8.86520376
957 8478 17.7461549 0.0177461549 8.85893417
957 8478 17.7457559 0.0177457559 8.85893417
956 8450 17.6722072 0.0176722072 8.83891213
956 8455 17.6732002 0.0176732002 8.84414226
956 8455 17.6727807 0.0176727807 8.84414226
956 8455 17.6735353 0.0176735353 8.84414226
956 8455 17.6733339 0.0176733339 8.84414226
956 8455 17.6733985 0.0176733985 8.84414226
