# scorer=cert K=3 N=1000 M=4200 seed=15 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=3 rollout_eta=0 eps=0.01 damp=0
step,action,vertex,dir
1336,dec,901,1
1337,back,901,-1
1338,dec,854,1
1339,back,854,-1
1340,dec,854,1
1341,back,854,-1
1342,dec,901,1
1343,back,901,-1
1344,dec,338,1
1345,back,338,-1
1346,dec,338,1
1347,dec,901,1
1348,back,338,-1
1349,dec,338,1
1350,back,338,-1
1351,dec,964,0
1352,back,901,-1
1353,dec,338,1
1354,back,964,-1
1355,dec,964,0
1356,back,964,-1
1357,dec,964,0
1358,back,964,-1
1359,dec,964,0
1360,back,964,-1
1361,dec,964,0
1362,back,964,-1
1363,dec,964,0
1364,back,964,-1
1365,dec,964,0
1366,dec,316,0
1367,back,964,-1
1368,dec,901,1
1369,back,901,-1
1370,dec,964,0
1371,back,338,-1
1372,dec,112,1
1373,back,743,-1
1374,dec,854,1
1375,back,854,-1
1376,dec,854,1
1377,back,854,-1
1378,dec,854,1
1379,back,854,-1
1380,dec,854,1
1381,back,854,-1
1382,dec,854,1
1383,back,854,-1
1384,dec,854,1
1385,dec,195,0
1386,back,854,-1
1387,dec,743,0
1388,back,364,-1
1389,dec,364,0
1390,back,762,-1
1391,dec,854,1
1392,back,364,-1
1393,dec,783,0
1394,back,316,-1
1395,dec,762,0
1396,back,762,-1
1397,dec,316,0
1398,back,743,-1
1399,dec,762,0
1400,back,762,-1
1401,dec,743,0
1402,back,783,-1
1403,dec,364,0
1404,dec,783,0
1405,back,364,-1
1406,dec,762,0
1407,back,783,-1
1408,dec,371,1
1409,back,371,-1
1410,dec,371,1
1411,back,371,-1
1412,dec,957,1
1413,back,957,-1
1414,dec,371,1
1415,back,371,-1
1416,dec,957,1
1417,back,957,-1
1418,dec,783,0
1419,back,762,-1
1420,dec,762,0
1421,back,762,-1
1422,dec,371,1
1423,dec,338,1
1424,back,338,-1
1425,dec,762,0
1426,back,371,-1
1427,dec,957,1
1428,back,957,-1
1429,dec,364,0
1430,back,364,-1
1431,dec,338,1
1432,back,338,-1
1433,dec,338,1
1434,back,338,-1
1435,dec,338,1
1436,back,338,-1
1437,dec,957,1
1438,back,957,-1
1439,dec,338,1
1440,back,338,-1
1441,dec,957,1
1442,dec,371,1
1443,back,957,-1
1444,dec,62,0
1445,back,62,-1
1446,dec,957,1
1447,back,957,-1
1448,dec,338,1
1449,back,338,-1
1450,dec,338,1
1451,back,338,-1
1452,dec,957,1
1453,back,957,-1
1454,dec,62,0
1455,back,62,-1
1456,dec,957,1
1457,back,957,-1
1458,dec,62,0
1459,back,371,-1
1460,dec,957,1
1461,dec,371,1
1462,back,957,-1
1463,dec,522,0
1464,back,522,-1
