# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 flexibility_diag=1 dataset_step=1400 eps=0.01 damp=0
step,move,vertex,dir,sT,sF,sI,bias_cert,score,abspol,margin,prod_plus,prod_minus,degree,n_inc,len1,len2,len3,len4p,Sigma_before,Sigma_per_N,step_frac,eta_before,r,converged,crashed,sat_oracle,delta_sigma,eta_after,mean_sI_after,delta_mean_sI
1400,back,18,0,0.04828022598,0.4641475446,0.4875722294,0.951719774,0.951719774,0.4158673186,0.8115628046,0.9099001498,0.5123065031,4,4,0,0,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.04856473767,7,0.1993104888,-0.00322107567
1400,back,18,1,0.04828022598,0.4641475446,0.4875722294,0.951719774,0.951719774,0.4158673186,0.8115628046,0.9099001498,0.5123065031,4,4,0,0,4,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.7405434546,50,0.1862853734,-0.01624619103
1400,back,152,0,0.6902166829,0.05112235212,0.258660965,0.9488776479,0.9488776479,0.6390943307,0.862081046,0.2725967522,0.8349738372,7,7,0,2,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,152,1,0.6902166829,0.05112235212,0.258660965,0.9488776479,0.9488776479,0.6390943307,0.862081046,0.2725967522,0.8349738372,7,7,0,2,5,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.05394073144,11,0.2020917798,-0.0004397846289
1400,back,47,0,0.05128200384,0.9099036351,0.03881436106,0.9487179962,0.9487179962,0.8586216313,0.8932942779,0.4308094018,0.04091243259,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.05019445513,9,0.2034741055,0.0009425410343
1400,back,47,1,0.05128200384,0.9099036351,0.03881436106,0.9487179962,0.9487179962,0.8586216313,0.8932942779,0.4308094018,0.04091243259,10,10,0,2,8,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,26,0,0.05298288384,0.8545456592,0.09247145693,0.9470171162,0.9470171162,0.8015627754,0.8832369863,0.635742161,0.09764496898,7,7,0,1,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.0576764209,8,0.2027046021,0.0001730377084
1400,back,26,1,0.05298288384,0.8545456592,0.09247145693,0.9470171162,0.9470171162,0.8015627754,0.8832369863,0.635742161,0.09764496898,7,7,0,1,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,125,0,0.79546366,0.05376065799,0.150775682,0.946239342,0.946239342,0.741703002,0.8733887929,0.1593420135,0.7371584043,4,4,0,2,2,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,125,1,0.79546366,0.05376065799,0.150775682,0.946239342,0.946239342,0.741703002,0.8733887929,0.1593420135,0.7371584043,4,4,0,2,2,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.05650183231,9,0.2029816883,0.0004501238335
1400,back,290,0,0.782201166,0.05453270667,0.1632661273,0.9454672933,0.9454672933,0.7276684594,0.8696534025,0.1726829986,0.7496189227,9,9,0,3,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
1400,back,290,1,0.782201166,0.05453270667,0.1632661273,0.9454672933,0.9454672933,0.7276684594,0.8696534025,0.1726829986,0.7496189227,9,9,0,3,6,0,1.204509176,0.004015030588,0.2866666667,4,0.9,1,0,-1,-0.05825929195,9,0.2022154833,-0.0003160810737
1400,back,42,0,0.8419078596,0.0546320606,0.1034600798,0.9453679394,0.9453679394,0.787275799,0.8781268756,0.1094389554,0.6544289902,8,8,0,1,7,0,1.204509176,0.004015030588,0.2866666667,4,0.9,0,0,-1,0,-1,0,0
