START ALGORITHM:
I am going to build an instance with N: 1000 variables and 4200 clauses with a clause density equal to 4.2
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
995 4168 6.34175861 0.00634175861 4.18894472
995 4168 6.34175853 0.00634175853 4.18894472
995 4168 6.34175856 0.00634175856 4.18894472
995 4168 6.34175872 0.00634175872 4.18894472
995 4168 6.34175873 0.00634175873 4.18894472
995 4168 6.34175874 0.00634175874 4.18894472
994 4163 6.34070735 0.00634070735 4.18812877
994 4163 6.34070709 0.00634070709 4.18812877
994 4163 6.34070677 0.00634070677 4.18812877
994 4163 6.34070688 0.00634070688 4.18812877
994 4163 6.34070742 0.00634070742 4.18812877
994 4163 6.34070762 0.00634070762 4.18812877
994 4163 6.34070796 0.00634070796 4.18812877
994 4163 6.34070731 0.00634070731 4.18812877
994 4163 6.34070773 0.00634070773 4.18812877
994 4163 6.34070778 0.00634070778 4.18812877
993 4152 6.33945466 0.00633945466 4.18126888
993 4152 6.33945464 0.00633945464 4.18126888
993 4152 6.33945391 0.00633945391 4.18126888
993 4152 6.33945206 0.00633945206 4.18126888
993 4152 6.33945149 0.00633945149 4.18126888
993 4152 6.3394509 0.0063394509 4.18126888
993 4152 6.33944997 0.00633944997 4.18126888
993 4152 6.33944957 0.00633944957 4.18126888
993 4152 6.33944917 0.00633944917 4.18126888
993 4152 6.33944905 0.00633944905 4.18126888
992 4138 6.33771599 0.00633771599 4.17137097
992 4138 6.33771501 0.00633771501 4.17137097
992 4138 6.33771357 0.00633771357 4.17137097
992 4138 6.33771532 0.00633771532 4.17137097
992 4138 6.33771606 0.00633771606 4.17137097
992 4138 6.33771717 0.00633771717 4.17137097
992 4138 6.33771805 0.00633771805 4.17137097
992 4138 6.33771782 0.00633771782 4.17137097
992 4138 6.33771774 0.00633771774 4.17137097
992 4138 6.33771738 0.00633771738 4.17137097
991 4133 6.33476821 0.00633476821 4.17053481
991 4133 6.33479376 0.00633479376 4.17053481
991 4133 6.33480354 0.00633480354 4.17053481
991 4133 6.33482023 0.00633482023 4.17053481
991 4133 6.3348267 0.0063348267 4.17053481
991 4133 6.334829 0.006334829 4.17053481
991 4133 6.33483126 0.00633483126 4.17053481
991 4133 6.33483134 0.00633483134 4.17053481
991 4133 6.33483148 0.00633483148 4.17053481
991 4133 6.33483163 0.00633483163 4.17053481
990 4121 6.32983813 0.00632983813 4.16262626
990 4121 6.32977487 0.00632977487 4.16262626
990 4121 6.32979008 0.00632979008 4.16262626
990 4121 6.32979683 0.00632979683 4.16262626
990 4121 6.32979787 0.00632979787 4.16262626
990 4121 6.32979803 0.00632979803 4.16262626
990 4121 6.32979836 0.00632979836 4.16262626
990 4121 6.32980096 0.00632980096 4.16262626
990 4121 6.32979898 0.00632979898 4.16262626
990 4121 6.32979751 0.00632979751 4.16262626
989 4110 6.32464981 0.00632464981 4.15571284
989 4110 6.32463289 0.00632463289 4.15571284
989 4110 6.32459658 0.00632459658 4.15571284
989 4110 6.32457032 0.00632457032 4.15571284
989 4110 6.32455721 0.00632455721 4.15571284
989 4110 6.32458707 0.00632458707 4.15571284
989 4110 6.32461067 0.00632461067 4.15571284
989 4110 6.32464594 0.00632464594 4.15571284
989 4110 6.32465636 0.00632465636 4.15571284
989 4110 6.32466676 0.00632466676 4.15571284
988 4102 6.31944157 0.00631944157 4.15182186
988 4102 6.31941399 0.00631941399 4.15182186
988 4102 6.31941271 0.00631941271 4.15182186
988 4102 6.31941553 0.00631941553 4.15182186
988 4102 6.31941491 0.00631941491 4.15182186
988 4102 6.31941357 0.00631941357 4.15182186
988 4102 6.31941541 0.00631941541 4.15182186
988 4102 6.31941568 0.00631941568 4.15182186
988 4102 6.3194164 0.0063194164 4.15182186
988 4102 6.31941661 0.00631941661 4.15182186
987 4096 6.31395982 0.00631395982 4.14994934
987 4096 6.31395894 0.00631395894 4.14994934
987 4096 6.31392899 0.00631392899 4.14994934
987 4096 6.31397387 0.00631397387 4.14994934
987 4096 6.31399275 0.00631399275 4.14994934
987 4096 6.31399747 0.00631399747 4.14994934
987 4096 6.31400619 0.00631400619 4.14994934
987 4096 6.31400779 0.00631400779 4.14994934
987 4096 6.31400932 0.00631400932 4.14994934
987 4096 6.31401031 0.00631401031 4.14994934
986 4087 6.30804804 0.00630804804 4.14503043
986 4087 6.30814832 0.00630814832 4.14503043
986 4087 6.30813819 0.00630813819 4.14503043
986 4087 6.30813978 0.00630813978 4.14503043
986 4087 6.30813722 0.00630813722 4.14503043
986 4087 6.30813334 0.00630813334 4.14503043
986 4087 6.30811997 0.00630811997 4.14503043
986 4087 6.30813162 0.00630813162 4.14503043
986 4087 6.30812524 0.00630812524 4.14503043
986 4087 6.30814066 0.00630814066 4.14503043
985 4072 6.30212094 0.00630212094 4.13401015
985 4072 6.30213511 0.00630213511 4.13401015
985 4072 6.30213762 0.00630213762 4.13401015
985 4072 6.30215145 0.00630215145 4.13401015
985 4072 6.30215515 0.00630215515 4.13401015
985 4072 6.30215435 0.00630215435 4.13401015
985 4072 6.30215649 0.00630215649 4.13401015
985 4072 6.30215887 0.00630215887 4.13401015
985 4072 6.30215919 0.00630215919 4.13401015
985 4072 6.30216047 0.00630216047 4.13401015
984 4065 6.29575291 0.00629575291 4.13109756
984 4065 6.29568939 0.00629568939 4.13109756
984 4065 6.29563074 0.00629563074 4.13109756
984 4065 6.29564756 0.00629564756 4.13109756
984 4065 6.29563839 0.00629563839 4.13109756
984 4065 6.29566796 0.00629566796 4.13109756
984 4065 6.29571622 0.00629571622 4.13109756
984 4065 6.29573351 0.00629573351 4.13109756
984 4065 6.29574829 0.00629574829 4.13109756
984 4065 6.29574875 0.00629574875 4.13109756
983 4054 6.28918873 0.00628918873 4.12410987
983 4054 6.28916725 0.00628916725 4.12410987
983 4054 6.28923314 0.00628923314 4.12410987
983 4054 6.28914494 0.00628914494 4.12410987
983 4054 6.28920431 0.00628920431 4.12410987
983 4054 6.2891894 0.0062891894 4.12410987
983 4054 6.28916686 0.00628916686 4.12410987
983 4054 6.28917538 0.00628917538 4.12410987
983 4054 6.28918451 0.00628918451 4.12410987
983 4054 6.28918049 0.00628918049 4.12410987
982 4045 6.2822709 0.0062822709 4.1191446
982 4045 6.28220009 0.00628220009 4.1191446
982 4045 6.28229193 0.00628229193 4.1191446
982 4045 6.28232168 0.00628232168 4.1191446
982 4045 6.28232455 0.00628232455 4.1191446
982 4045 6.28232066 0.00628232066 4.1191446
982 4045 6.28231588 0.00628231588 4.1191446
982 4045 6.28231929 0.00628231929 4.1191446
982 4045 6.28231877 0.00628231877 4.1191446
982 4045 6.28232146 0.00628232146 4.1191446
981 4040 6.27522148 0.00627522148 4.11824669
981 4040 6.27512792 0.00627512792 4.11824669
981 4040 6.27512426 0.00627512426 4.11824669
981 4040 6.27512507 0.00627512507 4.11824669
