START ALGORITHM:
I am going to build an instance with N: 300 variables and 1200 clauses with a clause density equal to 4
START DYNAMIC-I BSP WITH r=0.9:
Decimation scorer: cert
END UNIT PROPAGATION
295 1171 6.07143655 0.0202381218 3.96949153
295 1171 6.07143706 0.0202381235 3.96949153
295 1171 6.07143738 0.0202381246 3.96949153
295 1171 6.07143754 0.0202381251 3.96949153
295 1171 6.07143764 0.0202381255 3.96949153
294 1163 6.06245599 0.0202081866 3.95578231
294 1163 6.06245264 0.0202081755 3.95578231
294 1163 6.06247246 0.0202082415 3.95578231
294 1163 6.06247803 0.0202082601 3.95578231
294 1163 6.0624799 0.0202082663 3.95578231
294 1163 6.06248148 0.0202082716 3.95578231
294 1163 6.06248213 0.0202082738 3.95578231
294 1163 6.0624824 0.0202082747 3.95578231
294 1163 6.06248258 0.0202082753 3.95578231
294 1163 6.06248268 0.0202082756 3.95578231
293 1157 6.05191025 0.0201730342 3.94880546
293 1157 6.05190411 0.0201730137 3.94880546
293 1157 6.05190888 0.0201730296 3.94880546
293 1157 6.05190677 0.0201730226 3.94880546
293 1157 6.05190654 0.0201730218 3.94880546
293 1157 6.05190644 0.0201730215 3.94880546
293 1157 6.05190651 0.0201730217 3.94880546
293 1157 6.05190656 0.0201730219 3.94880546
293 1157 6.05190658 0.0201730219 3.94880546
293 1157 6.0519066 0.020173022 3.94880546
292 1145 6.03883859 0.020129462 3.92123288
292 1145 6.03888897 0.0201296299 3.92123288
292 1145 6.03885256 0.0201295085 3.92123288
292 1145 6.03887661 0.0201295887 3.92123288
292 1145 6.03887024 0.0201295675 3.92123288
292 1145 6.03882405 0.0201294135 3.92123288
292 1145 6.03888071 0.0201296024 3.92123288
292 1145 6.03887033 0.0201295678 3.92123288
292 1145 6.03882398 0.0201294133 3.92123288
292 1145 6.03888123 0.0201296041 3.92123288
291 1131 6.02263478 0.0200754493 3.88659794
291 1134 6.02279562 0.0200759854 3.89690722
291 1138 6.02285852 0.0200761951 3.91065292
291 1138 6.02290156 0.0200763385 3.91065292
291 1138 6.02289883 0.0200763294 3.91065292
291 1138 6.02289888 0.0200763296 3.91065292
291 1138 6.02290069 0.0200763356 3.91065292
291 1138 6.02290117 0.0200763372 3.91065292
291 1138 6.02290141 0.020076338 3.91065292
291 1138 6.02290158 0.0200763386 3.91065292
290 1127 6.00699319 0.0200233106 3.8862069
290 1127 6.00691393 0.0200230464 3.8862069
290 1127 6.00689082 0.0200229694 3.8862069
290 1127 6.00689273 0.0200229758 3.8862069
290 1127 6.0068936 0.0200229787 3.8862069
290 1127 6.00689396 0.0200229799 3.8862069
290 1127 6.00689402 0.0200229801 3.8862069
290 1127 6.00689414 0.0200229805 3.8862069
290 1127 6.00689424 0.0200229808 3.8862069
290 1127 6.0068943 0.020022981 3.8862069
289 1113 5.99064817 0.0199688272 3.85121107
289 1113 5.99071332 0.0199690444 3.85121107
289 1113 5.99068068 0.0199689356 3.85121107
289 1113 5.99071078 0.0199690359 3.85121107
289 1113 5.99071547 0.0199690516 3.85121107
289 1113 5.99072112 0.0199690704 3.85121107
289 1113 5.99072224 0.0199690741 3.85121107
289 1113 5.99072305 0.0199690768 3.85121107
289 1113 5.99072366 0.0199690789 3.85121107
289 1113 5.99072398 0.0199690799 3.85121107
288 1104 5.97370387 0.0199123462 3.83333333
288 1104 5.97359069 0.019911969 3.83333333
288 1104 5.97362555 0.0199120852 3.83333333
288 1104 5.97363182 0.0199121061 3.83333333
288 1104 5.97363393 0.0199121131 3.83333333
288 1104 5.97363478 0.0199121159 3.83333333
288 1104 5.97363515 0.0199121172 3.83333333
288 1104 5.97363532 0.0199121177 3.83333333
288 1104 5.97363539 0.019912118 3.83333333
288 1104 5.97363543 0.0199121181 3.83333333
287 1096 5.95492908 0.0198497636 3.81881533
287 1102 5.96210472 0.0198736824 3.83972125
287 1104 5.96352731 0.0198784244 3.8466899
287 1101 5.9637093 0.019879031 3.83623693
287 1104 5.96357556 0.0198785852 3.8466899
287 1101 5.96370324 0.0198790108 3.83623693
287 1104 5.96358043 0.0198786014 3.8466899
287 1101 5.96370532 0.0198790177 3.83623693
287 1104 5.96358146 0.0198786049 3.8466899
287 1101 5.96370611 0.0198790204 3.83623693
286 1090 5.947552 0.0198251733 3.81118881
286 1090 5.94754601 0.0198251534 3.81118881
286 1090 5.94751417 0.0198250472 3.81118881
286 1090 5.94757796 0.0198252599 3.81118881
286 1090 5.9475782 0.0198252607 3.81118881
286 1090 5.94757882 0.0198252627 3.81118881
286 1090 5.94757899 0.0198252633 3.81118881
286 1090 5.94758067 0.0198252689 3.81118881
286 1090 5.94758149 0.0198252716 3.81118881
286 1090 5.9475818 0.0198252727 3.81118881
285 1081 5.93072395 0.0197690798 3.79298246
285 1081 5.93061329 0.019768711 3.79298246
285 1081 5.93061325 0.0197687108 3.79298246
285 1081 5.93061648 0.0197687216 3.79298246
285 1081 5.9306167 0.0197687223 3.79298246
285 1081 5.93061671 0.0197687224 3.79298246
285 1081 5.93061679 0.0197687226 3.79298246
285 1081 5.93061682 0.0197687227 3.79298246
285 1081 5.93061684 0.0197687228 3.79298246
285 1081 5.93061685 0.0197687228 3.79298246
284 1074 5.91015217 0.0197005072 3.78169014
284 1074 5.91014711 0.0197004904 3.78169014
284 1074 5.91013211 0.0197004404 3.78169014
284 1074 5.91013157 0.0197004386 3.78169014
284 1074 5.91013322 0.0197004441 3.78169014
284 1074 5.91013369 0.0197004456 3.78169014
284 1074 5.9101339 0.0197004463 3.78169014
284 1074 5.910134 0.0197004467 3.78169014
284 1074 5.91013405 0.0197004468 3.78169014
284 1074 5.91013407 0.0197004469 3.78169014
283 1069 5.88856039 0.0196285346 3.77738516
283 1069 5.88865682 0.0196288561 3.77738516
283 1069 5.88866662 0.0196288887 3.77738516
283 1069 5.88867804 0.0196289268 3.77738516
283 1069 5.8886823 0.019628941 3.77738516
283 1069 5.88868372 0.0196289457 3.77738516
283 1069 5.88868447 0.0196289482 3.77738516
283 1069 5.88868483 0.0196289494 3.77738516
283 1069 5.888685 0.01962895 3.77738516
283 1069 5.88868508 0.0196289503 3.77738516
282 1060 5.86633811 0.0195544604 3.75886525
282 1054 5.86752351 0.0195584117 3.73758865
282 1054 5.86739723 0.0195579908 3.73758865
282 1054 5.86740765 0.0195580255 3.73758865
282 1054 5.86741049 0.019558035 3.73758865
282 1054 5.86741185 0.0195580395 3.73758865
282 1054 5.86741269 0.0195580423 3.73758865
282 1054 5.86741308 0.0195580436 3.73758865
282 1054 5.86741327 0.0195580442 3.73758865
282 1054 5.86741336 0.0195580445 3.73758865
281 1049 5.84638517 0.0194879506 3.73309609
281 1049 5.84643873 0.0194881291 3.73309609
281 1049 5.84644011 0.0194881337 3.73309609
281 1049 5.84644016 0.0194881339 3.73309609
281 1049 5.84644388 0.0194881463 3.73309609
281 1049 5.84644685 0.0194881562 3.73309609
281 1049 5.84644812 0.0194881604 3.73309609
281 1049 5.84644865 0.0194881622 3.73309609
281 1049 5.84644899 0.0194881633 3.73309609
281 1049 5.84644923 0.0194881641 3.73309609
280 1041 5.82393756 0.0194131252 3.71785714
280 1040 5.82369732 0.0194123244 3.71428571
280 1041 5.82398116 0.0194132705 3.71785714
280 1040 5.82364102 0.0194121367 3.71428571
280 1041 5.8239854 0.0194132847 3.71785714
280 1040 5.82364253 0.0194121418 3.71428571
280 1041 5.82398969 0.019413299 3.71785714
280 1040 5.82364312 0.0194121437 3.71428571
280 1041 5.82399102 0.0194133034 3.71785714
280 1040 5.82364331 0.0194121444 3.71428571
279 1032 5.80134391 0.019337813 3.69892473
279 1032 5.80134519 0.0193378173 3.69892473
279 1032 5.8014188 0.0193380627 3.69892473
279 1032 5.80144567 0.0193381522 3.69892473
279 1032 5.80145889 0.0193381963 3.69892473
279 1032 5.80146355 0.0193382118 3.69892473
279 1032 5.80146598 0.0193382199 3.69892473
279 1032 5.80146727 0.0193382242 3.69892473
279 1032 5.80146812 0.0193382271 3.69892473
279 1032 5.80146863 0.0193382288 3.69892473
278 1025 5.77591126 0.0192530375 3.68705036
278 1025 5.77571552 0.0192523851 3.68705036
278 1025 5.77571018 0.0192523673 3.68705036
