# scorer=cert K=3 N=300 M=1245 seed=3 r=0.9 theta=0 veto=0 lookahead_k=0 parisi_exchange=0 parisi_audit=0 dynamic_I_backtrack=0 sigma_certified=0 transaction_safe=0 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,P_max,I_min,predicted_delta_sigma,predicted_release_gain,actual_release_gain,release_converged,certified_sigma,replay_error,sp_residual,sp_contraction
66,back,296,1220,1.374072866,0.004580242886,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.005050118195,0.4103713049
67,dec,297,1223,1.381042837,0.004603476124,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.004888581937,0.4053009953
68,back,296,1220,1.374075583,0.004580251942,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004822691806,0.4009115099
69,dec,297,1223,1.381041917,0.004603473058,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.004970242086,0.4067274303
70,back,296,1220,1.374075906,0.004580253019,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004946535892,0.4065937723
71,dec,297,1223,1.381039088,0.004603463628,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.0048406175,0.4030519367
72,back,296,1220,1.374079542,0.004580265139,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004902301192,0.4029632485
73,dec,297,1223,1.381037134,0.004603457115,3,0,0.9929855423,3,0,1,0,-0,0,0,0,0,0.004946383626,0.4066478184
74,dec,296,1220,1.37407792,0.004580259734,3,0,0.9929855423,4,0,1,0,-0,0,0,0,0,0.004894534798,0.4048254553
75,back,295,1209,1.366443891,0.004554812971,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.005552675033,0.4715874524
76,dec,296,1220,1.373988539,0.004579961798,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.006142610027,0.4764213838
77,back,295,1209,1.366384193,0.004554613978,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.005542097128,0.4501241673
78,dec,296,1220,1.373945831,0.004579819436,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.00674573687,0.5421558079
79,back,295,1209,1.366193147,0.004553977158,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.006315918163,0.5282636801
80,dec,296,1220,1.373928882,0.004579762941,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.005887190073,0.5066137297
81,back,295,1209,1.366243041,0.004554143468,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.006230214628,0.4954386852
82,dec,296,1220,1.374000129,0.00458000043,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.006122630342,0.4645649677
83,back,295,1209,1.366246989,0.004554156631,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.006149806838,0.4656926143
84,dec,296,1220,1.37401228,0.004580040932,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.006361557716,0.4991251042
85,back,295,1209,1.366292867,0.004554309557,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.006841327255,0.519359439
86,dec,296,1220,1.373987424,0.004579958079,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.00689653724,0.5081030981
87,back,295,1209,1.366271421,0.004554238071,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.006590649283,0.5020660013
88,dec,296,1220,1.373971618,0.004579905394,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.007076389255,0.5394857814
89,back,295,1209,1.366273612,0.004554245375,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.007100795003,0.5420579282
90,dec,296,1220,1.373995636,0.004579985453,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.006836116354,0.5207678556
91,back,295,1209,1.366278015,0.004554260051,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.006755468184,0.5169975756
92,dec,296,1220,1.374020315,0.004580067718,1,0,0.9923034505,4,0,1,0,-0,0,0,0,0,0.006761663083,0.5202282704
93,dec,295,1209,1.366285452,0.004554284839,1,0,0.9923034505,5,0,1,0,-0,0,0,0,0,0.00678758392,0.5132557609
94,back,294,1204,1.358104763,0.004527015876,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.00900710953,0.4324674456
95,dec,295,1209,1.366394679,0.004554648931,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008273668982,0.4353675221
96,back,294,1204,1.357976276,0.004526587586,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008166914478,0.410747231
97,dec,295,1209,1.36644706,0.004554823533,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008421359834,0.4104112704
98,back,294,1204,1.358075607,0.00452691869,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008832023151,0.4231444085
99,dec,295,1209,1.366512692,0.004555042307,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008467849938,0.3915023233
100,back,294,1204,1.358164377,0.004527214589,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008523882496,0.3976712222
101,dec,295,1209,1.3665222,0.004555074001,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008417160489,0.4026971307
102,back,294,1204,1.358183416,0.004527278054,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008542456104,0.4023495312
103,dec,295,1209,1.366535818,0.004555119395,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008288831588,0.3991809592
104,back,294,1204,1.358179658,0.004527265526,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008360156971,0.4026981825
105,dec,295,1209,1.366561807,0.004555206024,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008297184147,0.3921106174
106,back,294,1204,1.358179753,0.004527265843,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008384979046,0.3960332037
107,dec,295,1209,1.366556957,0.004555189857,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008233192398,0.3915746503
108,back,294,1204,1.35820669,0.004527355635,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008440697529,0.3954029755
109,dec,295,1209,1.366552951,0.004555176504,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008264259061,0.3930814558
110,back,294,1204,1.358192286,0.004527307619,2,0,0.9915944359,6,0,1,0,-0,0,0,0,0,0.008394394234,0.3960765157
111,dec,295,1209,1.366563655,0.004555212184,2,0,0.9915944359,5,0,1,0,-0,0,0,0,0,0.008261181977,0.3908222098
