# scorer=cert K=3 N=1000 M=4200 seed=15 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lookahead_k=4 energy=eta rollout_h=0 rollout_eta=15 eps=0.01 damp=0
step,action,vertex,dir
198,dec,657,1
199,back,657,-1
200,dec,657,1
201,back,657,-1
202,dec,657,1
203,back,657,-1
204,dec,657,1
205,back,657,-1
206,dec,657,1
207,dec,570,0
208,back,570,-1
209,dec,570,0
210,back,570,-1
211,dec,570,0
212,back,570,-1
213,dec,259,0
214,back,657,-1
215,dec,657,1
216,back,657,-1
217,dec,657,1
218,back,657,-1
219,dec,657,1
220,back,657,-1
221,dec,657,1
222,back,657,-1
223,dec,657,1
224,back,657,-1
225,dec,657,1
226,dec,570,0
227,back,570,-1
228,dec,570,0
229,back,570,-1
230,dec,570,0
231,back,570,-1
232,dec,570,0
233,back,570,-1
234,dec,570,0
235,back,570,-1
236,dec,570,0
237,back,570,-1
238,dec,570,0
239,back,570,-1
240,dec,570,0
241,back,570,-1
242,dec,570,0
243,back,570,-1
244,dec,570,0
245,dec,197,0
246,back,197,-1
247,dec,197,0
248,back,197,-1
249,dec,197,0
250,back,197,-1
251,dec,197,0
252,back,197,-1
253,dec,197,0
254,back,197,-1
255,dec,197,0
256,back,197,-1
257,dec,197,0
258,back,197,-1
259,dec,197,0
260,back,197,-1
261,dec,197,0
262,back,197,-1
263,dec,197,0
264,dec,607,0
265,back,607,-1
266,dec,607,0
267,back,607,-1
268,dec,607,0
269,back,607,-1
270,dec,607,0
271,back,607,-1
272,dec,116,0
273,back,197,-1
274,dec,197,0
275,back,570,-1
276,dec,570,0
277,back,197,-1
278,dec,197,0
279,back,570,-1
280,dec,570,0
281,back,570,-1
282,dec,570,0
283,dec,607,0
284,back,607,-1
285,dec,607,0
286,back,607,-1
287,dec,607,0
288,back,607,-1
289,dec,607,0
290,back,607,-1
291,dec,607,0
292,back,607,-1
293,dec,607,0
294,back,607,-1
295,dec,607,0
296,back,607,-1
297,dec,607,0
298,back,607,-1
299,dec,607,0
300,back,607,-1
301,dec,607,0
302,dec,143,0
303,back,143,-1
304,dec,143,0
305,back,143,-1
306,dec,143,0
307,back,143,-1
308,dec,143,0
309,back,143,-1
310,dec,143,0
311,back,143,-1
312,dec,143,0
313,back,143,-1
314,dec,143,0
315,back,143,-1
316,dec,143,0
317,back,143,-1
318,dec,143,0
319,back,143,-1
320,dec,143,0
321,dec,533,1
322,back,143,-1
323,dec,143,0
324,back,143,-1
325,dec,143,0
326,back,143,-1
327,dec,143,0
328,back,143,-1
329,dec,143,0
330,back,143,-1
331,dec,143,0
332,back,143,-1
333,dec,143,0
334,back,143,-1
335,dec,143,0
336,back,143,-1
337,dec,143,0
338,back,143,-1
339,dec,143,0
340,dec,241,0
341,back,241,-1
342,dec,241,0
