# scorer=cert K=3 N=300 M=1245 seed=1 r=0.9 theta=0 veto=0 dynamic_I_backtrack=0 lyapunov=1 lyapunov_step=1400 lyapunov_check=0 adjoint_check=1 eps=0.01 damp=0
step,move,Nt,Mt,Sigma,Sigma_per_N,eta,unit_prop,last_cert,n_fixed,lyapunov_rho,lyapunov_exponent,lyapunov_iterations,lyapunov_jvp_error,adjoint_identity_error,adjoint_eigenvalue,adjoint_overlap,adjoint_right_residual,adjoint_left_residual,tight_converged,tight_lyapunov_rho,tight_lyapunov_exponent,tight_lyapunov_iterations,tight_Sigma
97,dec,295,1215,2.637180314,0.008790601046,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
98,back,294,1206,2.630820883,0.008769402942,2,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
99,dec,295,1211,2.638018397,0.008793394655,1,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
100,back,294,1206,2.630818699,0.008769395662,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
101,dec,295,1211,2.638037045,0.008793456817,1,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
102,back,294,1206,2.630828353,0.008769427845,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
103,dec,295,1209,2.637969241,0.008793230802,2,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
104,back,294,1206,2.630803219,0.008769344063,2,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
105,dec,295,1211,2.638011517,0.008793371725,1,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
106,back,294,1206,2.630818428,0.008769394759,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
107,dec,295,1211,2.638022218,0.008793407394,1,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
108,back,294,1206,2.630867648,0.008769558826,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
109,dec,295,1211,2.638027681,0.008793425603,1,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
110,back,294,1206,2.630838825,0.008769462751,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
111,dec,295,1211,2.638019991,0.008793399971,1,0,0.990037837,5,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
112,dec,294,1206,2.630855837,0.008769519457,1,0,0.990037837,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
113,back,293,1200,2.62057696,0.008735256534,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
114,dec,294,1206,2.630871393,0.008769571312,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
115,back,293,1200,2.620466512,0.008734888373,1,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
116,dec,294,1206,2.630849987,0.008769499956,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
117,back,293,1200,2.620537448,0.008735124825,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
118,dec,294,1206,2.630855025,0.008769516751,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
119,back,293,1200,2.620632391,0.008735441303,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
120,dec,294,1206,2.630914487,0.008769714957,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
121,back,293,1200,2.620628893,0.008735429643,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
122,dec,294,1206,2.630895764,0.008769652546,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
123,back,293,1200,2.6206214,0.008735404667,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
124,dec,294,1206,2.630896908,0.008769656359,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
125,back,293,1200,2.620623727,0.008735412423,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
126,dec,294,1206,2.63090247,0.0087696749,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
127,back,293,1200,2.620620819,0.008735402731,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
128,dec,294,1206,2.630897043,0.00876965681,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
129,back,293,1200,2.620617936,0.00873539312,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
130,dec,294,1206,2.630898274,0.008769660913,2,0,0.9894496152,6,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
131,dec,293,1200,2.620621616,0.008735405386,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
132,back,292,1189,2.610745457,0.008702484856,2,0,0.9894496152,8,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
133,dec,293,1195,2.616351136,0.008721170453,1,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
134,back,292,1189,2.610738361,0.008702461202,1,0,0.9894496152,8,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
135,dec,293,1200,2.620553396,0.008735177988,2,0,0.9894496152,7,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
136,back,292,1189,2.610785223,0.00870261741,2,0,0.9894496152,8,0,-inf,0,0,0,0,0,0,0,0,0,-inf,0,0
