seed	solutions	policy	b	t	solved	core_fraction	c1	v1	seconds
9	0	supported	0.8	1.0	0				0.5838367340002151
9	0	combined	0.6	0.9	0				0.5838461940002162
10	0	uniform	1.0	1.0	0				0.5672499189995506
10	0	critical	1.0	0.8	0				0.5672798999994484
10	0	supported	0.8	1.0	0				0.567290519999915
10	0	combined	0.6	0.9	0				0.5672992609997891
11	0	uniform	1.0	1.0	0				0.6058446770002774
11	0	critical	1.0	0.8	0				0.6058672170001955
11	0	supported	0.8	1.0	0				0.6058777170001122
11	0	combined	0.6	0.9	0				0.6058868070003882
12	3	uniform	1.0	1.0	1	0.8888888888888888	41	17	0.5707471519999672
12	3	critical	1.0	0.8	1	0.8888888888888888	41	17	0.570970137000586
12	3	supported	0.8	1.0	1	0.8888888888888888	43	16	0.5711666420002075
12	3	combined	0.6	0.9	1	0.8888888888888888	43	16	0.5713835270007621
13	0	uniform	1.0	1.0	0				0.5935006340005202
13	0	critical	1.0	0.8	0				0.5935207640004592
13	0	supported	0.8	1.0	0				0.5935315850001643
13	0	combined	0.6	0.9	0				0.5935406250000597
14	2	uniform	1.0	1.0	1	1.0	52	18	0.5585953440004232
14	2	critical	1.0	0.8	1	1.0	52	18	0.5587588680000408
14	2	supported	0.8	1.0	1	1.0	52	18	0.5589066620004814
14	2	combined	0.6	0.9	1	1.0	52	18	0.5590544550004779
15	0	uniform	1.0	1.0	0				0.5593030109994288
15	0	critical	1.0	0.8	0				0.559330521999982
15	0	supported	0.8	1.0	0				0.55934193199937
15	0	combined	0.6	0.9	0				0.5593513129997518
16	1	uniform	1.0	1.0	1	1.0	45	18	0.5996804799997335
16	1	critical	1.0	0.8	1	1.0	45	18	0.5998053530001926
16	1	supported	0.8	1.0	1	1.0	45	18	0.5999064059997181
16	1	combined	0.6	0.9	1	1.0	45	18	0.6000173379998159
17	3	uniform	1.0	1.0	1	1.0	46	18	0.5615989150001042
17	3	critical	1.0	0.8	1	1.0	46	18	0.5617907599998944
17	3	supported	0.8	1.0	1	0.9444444444444444	58	17	0.561977394000678
17	3	combined	0.6	0.9	1	1.0	46	18	0.5621611990000019
18	2	uniform	1.0	1.0	1	0.9444444444444444	53	17	0.5604238879996046
18	2	critical	1.0	0.8	1	0.9444444444444444	49	17	0.560586491000322
18	2	supported	0.8	1.0	1	0.9444444444444444	53	17	0.5607354650001071
18	2	combined	0.6	0.9	1	0.9444444444444444	49	17	0.5608874789995753
19	1	uniform	1.0	1.0	1	1.0	52	18	0.5719773420005367
19	1	critical	1.0	0.8	1	1.0	52	18	0.5720989350002128
19	1	supported	0.8	1.0	1	1.0	52	18	0.572199757000817
19	1	combined	0.6	0.9	1	1.0	52	18	0.5723048100007873
20	5	uniform	1.0	1.0	1	0.0	56	16	0.6106721619999007
20	5	critical	1.0	0.8	1	0.0	41	16	0.6109840289991553
20	5	supported	0.8	1.0	1	0.0	48	15	0.6112671559994851
20	5	combined	0.6	0.9	1	0.0	41	16	0.6115613729998586
21	3	uniform	1.0	1.0	1	0.9444444444444444	48	17	0.5771389539995653
21	3	critical	1.0	0.8	1	1.0	45	18	0.5773671799997828
21	3	supported	0.8	1.0	1	0.9444444444444444	48	17	0.5775640739993833
21	3	combined	0.6	0.9	1	0.9444444444444444	48	17	0.5777682289999575
22	1	uniform	1.0	1.0	1	1.0	48	18	0.5557038950000788
22	1	critical	1.0	0.8	1	1.0	48	18	0.5558289580003475
22	1	supported	0.8	1.0	1	1.0	48	18	0.555931251000402
22	1	combined	0.6	0.9	1	1.0	48	18	0.556033593000393
23	4	uniform	1.0	1.0	1	0.9444444444444444	45	17	0.6031341120005891
23	4	critical	1.0	0.8	1	0.9444444444444444	42	17	0.6034084089997123
23	4	supported	0.8	1.0	1	0.9444444444444444	45	17	0.6036500350001006
23	4	combined	0.6	0.9	1	0.9444444444444444	42	17	0.603902831000596
24	0	uniform	1.0	1.0	0				0.5785011369998756
24	0	critical	1.0	0.8	0				0.5785321479997947
24	0	supported	0.8	1.0	0				0.5785432379998383
24	0	combined	0.6	0.9	0				0.5785525580004105
25	1	uniform	1.0	1.0	1	1.0	49	18	0.604539326000122
25	1	critical	1.0	0.8	1	1.0	49	18	0.6046697390002009
25	1	supported	0.8	1.0	1	1.0	49	18	0.6047754020000866
25	1	combined	0.6	0.9	1	1.0	49	18	0.6048767040001621
26	10	uniform	1.0	1.0	1	0.8888888888888888	41	17	0.5670689250000578
26	10	critical	1.0	0.8	1	0.9444444444444444	38	17	0.5674087229999714
26	10	supported	0.8	1.0	1	0.8888888888888888	45	16	0.5678162730000622
26	10	combined	0.6	0.9	1	0.9444444444444444	38	17	0.5681930220007416
27	0	uniform	1.0	1.0	0				0.5974208569996335
27	0	critical	1.0	0.8	0				0.5974535679997643
27	0	supported	0.8	1.0	0				0.5974647279999772
27	0	combined	0.6	0.9	0				0.597473727999386
28	0	uniform	1.0	1.0	0				0.5409832349996577
28	0	critical	1.0	0.8	0				0.5410076359994491
28	0	supported	0.8	1.0	0				0.5410184559996196
28	0	combined	0.6	0.9	0				0.5410270160000437
29	2	uniform	1.0	1.0	1	1.0	55	18	0.5580204799998683
29	2	critical	1.0	0.8	1	1.0	51	18	0.5581907839996347
29	2	supported	0.8	1.0	1	1.0	55	18	0.5583415279998007
29	2	combined	0.6	0.9	1	1.0	51	18	0.5584969820001788
30	3	uniform	1.0	1.0	1	0.8888888888888888	55	17	0.5664342999998553
30	3	critical	1.0	0.8	1	0.8888888888888888	50	17	0.5666670660002637
30	3	supported	0.8	1.0	1	0.8888888888888888	55	17	0.5668618899999274
30	3	combined	0.6	0.9	1	0.8888888888888888	50	17	0.5670632850005859
