seed	solutions	b	t	mean_c1	mean_v1	mean_core_fraction	ess	seconds
26	2	1.0	0.95	56.38481728245508	20.0	1.0	1.9882761882901354	1.581488864030689
26	2	1.0	0.9	56.2648930017351	20.0	1.0	1.9520445123253198	1.581488864030689
26	2	1.0	0.8	56.01587301587301	19.999999999999996	1.0	1.8113178844886162	1.581488864030689
26	2	0.8	1.0	56.5	20.0	1.0	2.0	1.581488864030689
26	2	0.8	0.95	56.38481728245508	20.0	1.0	1.9882761882901354	1.581488864030689
26	2	0.8	0.9	56.2648930017351	20.0	1.0	1.95204451232532	1.581488864030689
26	2	0.8	0.8	56.01587301587302	20.0	1.0	1.811317884488616	1.581488864030689
26	2	0.6	1.0	56.5	20.0	1.0	2.0	1.581488864030689
26	2	0.6	0.95	56.384817282455074	20.0	1.0	1.9882761882901359	1.581488864030689
26	2	0.6	0.9	56.26489300173511	19.999999999999996	1.0	1.9520445123253198	1.581488864030689
26	2	0.6	0.8	56.01587301587302	20.0	1.0	1.8113178844886162	1.581488864030689
27	0	1.0	1.0	0.0	0.0	0.0	0.0	1.749456393008586
28	3	1.0	1.0	57.0	18.666666666666668	0.9	3.0	1.7854249379597604
28	3	1.0	0.95	56.86345725189259	18.631947847009922	0.9	2.979153103391561	1.7854249379597604
28	3	1.0	0.9	56.72109809010177	18.594501439519888	0.9	2.91466729700981	1.7854249379597604
28	3	1.0	0.8	56.42388758782201	18.512099921935988	0.8999999999999999	2.6632016632016633	1.7854249379597604
28	3	0.8	1.0	56.84615384615385	18.615384615384613	0.9	2.964912280701754	1.7854249379597604
28	3	0.8	0.95	56.70644231032544	18.578699910052435	0.9	2.895358780303415	1.7854249379597604
28	3	0.8	0.9	56.56268178638489	18.5397813040757	0.9	2.78482900779252	1.7854249379597604
28	3	0.8	0.8	56.26909027656985	18.45642720473126	0.9	2.4712505068527078	1.7854249379597604
28	3	0.6	1.0	56.63636363636363	18.545454545454543	0.9	2.8139534883720927	1.7854249379597604
28	3	0.6	0.95	56.496310407268226	18.50743860068232	0.9	2.6903283621095277	1.7854249379597604
28	3	0.6	0.9	56.35484076907526	18.46798889160806	0.9	2.5396870669721254	1.7854249379597604
28	3	0.6	0.8	56.07441586491262	18.38641272334577	0.9	2.1990387139989327	1.7854249379597604
29	2	1.0	1.0	51.0	19.0	0.95	2.0	1.7238135719671845
29	2	1.0	0.95	51.0	19.0	0.9499999999999998	2.0	1.7238135719671845
29	2	1.0	0.9	51.0	19.0	0.95	2.0	1.7238135719671845
29	2	1.0	0.8	51.0	19.0	0.95	2.0	1.7238135719671845
29	2	0.8	1.0	51.0	18.999999999999996	0.95	2.0	1.7238135719671845
29	2	0.8	0.95	51.0	19.0	0.9499999999999998	2.0	1.7238135719671845
29	2	0.8	0.9	51.0	19.0	0.9499999999999998	2.0	1.7238135719671845
29	2	0.8	0.8	51.0	19.0	0.95	2.0	1.7238135719671845
29	2	0.6	1.0	51.0	19.0	0.9500000000000001	2.0	1.7238135719671845
29	2	0.6	0.95	51.0	19.0	0.95	2.0	1.7238135719671845
29	2	0.6	0.9	51.0	19.0	0.95	2.0	1.7238135719671845
29	2	0.6	0.8	51.0	19.0	0.95	2.0	1.7238135719671845
30	0	1.0	1.0	0.0	0.0	0.0	0.0	1.7500252460013144
31	1	1.0	1.0	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	1.0	0.95	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	1.0	0.9	56.99999999999999	20.0	1.0	1.0	1.7760910569922999
31	1	1.0	0.8	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	0.8	1.0	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	0.8	0.95	56.99999999999999	20.0	1.0	1.0	1.7760910569922999
31	1	0.8	0.9	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	0.8	0.8	56.99999999999999	20.0	1.0	1.0	1.7760910569922999
31	1	0.6	1.0	56.99999999999999	20.0	1.0	1.0	1.7760910569922999
31	1	0.6	0.95	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	0.6	0.9	57.0	20.0	1.0	1.0	1.7760910569922999
31	1	0.6	0.8	57.0	20.0	1.0	1.0	1.7760910569922999
32	3	1.0	1.0	53.333333333333336	19.333333333333332	0.9666666666666667	3.0	1.8750614519813098
32	3	1.0	0.95	53.18203934025885	19.374268130366946	0.9687134065183473	2.976407229129652	1.8750614519813098
32	3	1.0	0.9	53.017273908850775	19.41926963230053	0.9709634816150264	2.8995760255266996	1.8750614519813098
32	3	1.0	0.8	52.65195670274772	19.520399666944215	0.9760199833472106	2.5823517932687743	1.8750614519813098
32	3	0.8	1.0	53.50000000000001	19.285714285714285	0.9642857142857143	2.9696969696969697	1.8750614519813098
32	3	0.8	0.95	53.358588221015886	19.3236401425028	0.96618200712514	2.997380417286067	1.8750614519813098
32	3	0.8	0.9	53.2019129559288	19.36611596723262	0.9683057983616311	2.9806089888258946	1.8750614519813098
32	3	0.8	0.8	52.84386617100372	19.464684014869885	0.9732342007434943	2.7702231920676854	1.8750614519813098
32	3	0.6	1.0	53.692307692307686	19.230769230769226	0.9615384615384616	2.8644067796610178	1.8750614519813098
32	3	0.6	0.95	53.56622127586994	19.26409831059612	0.9632049155298059	2.9351198452130034	1.8750614519813098
32	3	0.6	0.9	53.42375698957231	19.302251775729182	0.9651125887864591	2.981010315383396	1.8750614519813098
32	3	0.6	0.8	53.08622502628811	19.394321766561514	0.9697160883280758	2.931028224564997	1.8750614519813098
33	7	1.0	1.0	52.0	18.857142857142858	0.2857142857142857	7.0	1.7882947130128741
33	7	1.0	0.95	51.324255021376175	18.79433323789262	0.2620208071153138	6.782046960695573	1.7882947130128741
33	7	1.0	0.9	50.74011341153496	18.736958123112803	0.2352157322101658	6.285755558938368	1.7882947130128741
33	7	1.0	0.8	49.87045357507319	18.64775305884234	0.18005914513275403	5.191394718557545	1.7882947130128741
33	7	0.8	1.0	51.71428571428572	18.70748299319728	0.21768707482993202	6.7803577031691225	1.7882947130128741
33	7	0.8	0.95	51.07642793287177	18.64773455156524	0.19691231025194292	6.434757852923245	1.7882947130128741
33	7	0.8	0.9	50.53920416523651	18.596621019538187	0.17463468562648726	5.925614249279492	1.7882947130128741
33	7	0.8	0.8	49.7614517116726	18.52479074816736	0.13130248114347762	4.964481917189803	1.7882947130128741
33	7	0.6	1.0	51.36585365853659	18.53658536585366	0.14634146341463414	6.083232810615198	1.7882947130128741
33	7	0.6	0.95	50.79513664701836	18.484444605501476	0.1302524008000022	5.704344669132882	1.7882947130128741
33	7	0.6	0.9	50.32744228957917	18.443253362592845	0.11399006403269576	5.2815080227229565	1.7882947130128741
33	7	0.6	0.8	49.666110386348734	18.392646758940295	0.08421540644332688	4.569144273676118	1.7882947130128741
34	0	1.0	1.0	0.0	0.0	0.0	0.0	1.7378423899644986
35	0	1.0	1.0	0.0	0.0	0.0	0.0	1.7822836269624531
36	2	1.0	1.0	63.0	19.0	0.95	2.0	1.703260755049996
36	2	1.0	0.95	63.0	19.0	0.95	2.0	1.703260755049996
36	2	1.0	0.9	62.99999999999999	19.0	0.95	2.0	1.703260755049996
36	2	1.0	0.8	63.0	19.0	0.9500000000000001	2.0	1.703260755049996
36	2	0.8	1.0	63.0	18.999999999999996	0.95	2.0	1.703260755049996
36	2	0.8	0.95	63.0	19.0	0.95	2.0	1.703260755049996
36	2	0.8	0.9	63.0	19.0	0.95	2.0	1.703260755049996
36	2	0.8	0.8	63.0	19.0	0.9500000000000001	2.0	1.703260755049996
36	2	0.6	1.0	63.0	19.0	0.9500000000000001	2.0	1.703260755049996
36	2	0.6	0.95	63.0	19.0	0.95	2.0	1.703260755049996
36	2	0.6	0.9	63.0	19.0	0.95	2.0	1.703260755049996
36	2	0.6	0.8	63.0	19.0	0.95	2.0	1.703260755049996
37	0	1.0	1.0	0.0	0.0	0.0	0.0	1.8701548509998247
38	0	1.0	1.0	0.0	0.0	0.0	0.0	1.7168989549973048
39	3	1.0	1.0	45.666666666666664	18.666666666666668	0.8000000000000002	3.0	1.7961376620223746
39	3	1.0	0.95	45.24189943513193	18.6020444641074	0.8	2.9354266001419997	1.7961376620223746
39	3	1.0	0.9	44.79820416718184	18.531483577398376	0.8000000000000002	2.7456326302819134	1.7961376620223746
39	3	1.0	0.8	43.9183457303433	18.382455003201354	0.8	2.1639579420847173	1.7961376620223746
39	3	0.8	1.0	45.38461538461538	18.615384615384613	0.8	2.964912280701754	1.7961376620223746
39	3	0.8	0.95	44.94855135180349	18.54756757697434	0.8000000000000002	2.8129854697291714	1.7961376620223746
39	3	0.8	0.9	44.504817172006895	18.475758419246393	0.8	2.5589677582706747	1.7961376620223746
39	3	0.8	0.8	43.661788445308744	18.331305924222942	0.7999999999999999	1.9694711268821434	1.7961376620223746
39	3	0.6	1.0	45.0	18.545454545454543	0.8	2.8139534883720927	1.7961376620223746
39	3	0.6	0.95	44.56215125208975	18.475810249019556	0.8	2.573074952751195	1.7961376620223746
39	3	0.6	0.9	44.1322180514123	18.40498791726814	0.8	2.282783715000496	1.7961376620223746
39	3	0.6	0.8	43.358893718841976	18.27091868445267	0.7999999999999999	1.7480046664449882	1.7961376620223746
40	6	1.0	1.0	57.666666666666664	19.333333333333332	0.9500000000000001	6.0	1.7901284749968909
40	6	1.0	0.95	57.150255125228554	19.367500727902073	0.9504711547793616	5.864271525717796	1.7901284749968909
40	6	1.0	0.9	56.752688990267146	19.397682687066784	0.9510465333870181	5.590524755956584	1.7901284749968909
40	6	1.0	0.8	56.24639846818358	19.447830910563596	0.9524879495031311	5.058554125710896	1.7901284749968909
40	6	0.8	1.0	57.82142857142857	19.28571428571429	0.9464285714285714	5.9393939393939394	1.7901284749968909
